,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olen lomalla heinäkuussa>,43,0.0,19.5,11.69045194450012,33.10483529686975,11.161131666501856,2.55,5.8570579820527815,7.25,2.993582880352315,7.1,13.122304362987158,0.775,0.7333624702836333,1.25,1.4455945454184551,0.6298987617845434,0.1251194238482976,44.975,28.453729871314653,100.94854862797848,31.661864262690695,248.6093238872148,6.05033461292058,0.725,0.4522025867763026,0.2,0.40509574683346666,85.47358710384184,31.477257496305892
olen lähes sanaton>,16,0.0,19.5,11.69045194450012,33.840446490942156,9.414663371802057,2.75,5.62389590303778,5.475,2.1719363923254504,3.5,4.940673679798779,0.55,0.9044051735526052,0.875,1.1588566425355287,0.6902958579091061,0.1348047706933247,29.575,12.929567585527288,77.67630672919822,28.506592364733752,250.92494324231166,8.005680978924465,0.6,0.49613893835683387,0.225,0.42290206176626033,73.02224096930962,27.790696307905453
olen sopinut jo asian>,50,0.0,19.5,11.69045194450012,36.284026023959775,10.074728792446313,2.625,5.964370708525581,6.175,2.0986870132268844,3.475,5.974250301641761,0.65,0.6998168258505861,0.725,0.9604352645732546,0.7011687332961203,0.13672088369321625,32.95,11.37462312703376,83.424097180367,26.348211048440078,251.14410661567655,8.156885113352187,0.625,0.4902903378454601,0.175,0.38480764425479264,70.26023405287545,33.056876129384534
olen tulossa sinne>,37,0.0,19.5,11.69045194450012,30.64746316299992,11.272389171373769,2.275,4.723034118239172,6.3,2.784572885353543,7.25,10.012172079203879,0.65,0.7355444521071729,1.425,1.375378735718517,0.5928154710970499,0.12953793529498367,37.975,22.559877591048163,82.77266724946362,32.865403354253594,248.90234860977685,2.8981056827652205,0.55,0.503831473655779,0.275,0.45220258677630265,96.59365337839753,30.564474846724526
olen töissä huomenna>,35,0.0,19.5,11.69045194450012,34.952754844395294,10.047025360974608,1.9,4.6232411763133205,6.275,1.7244471429179697,4.5,9.18471416860505,0.45,0.7493587001820033,0.975,0.9195177108206347,0.649556240547438,0.12081209739268842,35.475,17.614078722169072,91.05162423669135,24.379259146085634,251.50025205192475,11.827894342108767,0.55,0.5038314736557788,0.2,0.40509574683346666,84.28696293848495,26.99105931805651
oletko aivan varma>,41,0.0,19.5,11.69045194450012,33.480345015758374,11.216436164301847,1.625,4.458857505730617,5.8,1.9767883821219479,4.075,4.763038784383186,0.65,0.8638019716079873,0.95,1.131144190405087,0.7012634176216807,0.15628440635983173,31.975,9.9085239139766,93.33016551602368,25.84363265372284,250.4276964608796,2.708527363075928,0.6,0.4961389383568338,0.2,0.40509574683346666,72.3042081718551,36.7283930054528
oliko se vahinko>,10,0.0,19.5,11.69045194450012,34.042267301455894,11.504200124148072,1.275,3.862956885267541,5.275,2.012620437549273,3.85,5.303844759301428,0.375,0.5856182356695511,1.0,1.176696810829104,0.6270100547350697,0.11016631011413718,29.25,12.14812426166785,56.04246579164328,21.16266191300812,248.64958779692338,2.9631893310462316,0.525,0.5057363253408151,0.15,0.3616202853397895,85.2905255385844,27.00677148978003
onko hän valmis vielä>,74,0.0,19.5,11.69045194450012,31.14414713481463,9.928371941544174,2.175,5.7462920039684535,6.975,2.423046397854124,5.225,5.868156133766074,0.65,0.6998168258505862,1.4,1.2969391975151656,0.668588184429733,0.1307857242494945,38.075,14.497369345806085,87.31636100241023,26.53659514812781,253.79446833710372,29.444710310808443,0.75,0.4385290096535146,0.15,0.3616202853397894,80.54092147457685,34.98945635982623
onkohan se jo ohi>,30,0.0,19.5,11.69045194450012,33.51196172692896,11.488523330097959,1.5,4.06359699192975,5.5,2.0127796827477296,5.2,8.680068533346367,0.525,0.8161039400870708,1.025,1.1432634351063984,0.6930921763940183,0.16234814317463617,32.85,16.505709967719095,67.87347130862314,19.407521850692845,248.81939352455356,2.5717054011731646,0.6,0.4961389383568338,0.15,0.3616202853397895,71.37037572762662,37.97971987501206
ostitko meille liput>,26,0.0,19.5,11.69045194450012,35.37355316991406,8.536747016324787,1.575,3.650693646769625,6.3,2.138775110748901,4.025,6.374981146276797,0.65,0.7696152885095853,0.975,1.0738738884082841,0.6909351565530543,0.09289447516389084,34.625,14.117978172964701,81.95575512326896,14.749190983501178,249.6663366530541,3.670182455297851,0.625,0.4902903378454601,0.225,0.4229020617662604,71.71328826881881,24.785957816632486
ota mitä vain voit>,15,0.0,19.5,11.69045194450012,32.08633637684427,12.703769450198449,3.375,6.315173018723261,5.275,2.5719143822731714,5.7,13.983873495877955,0.525,0.5986094998689324,0.825,0.8439072740411042,0.6955288613217532,0.19220483187073814,32.675,27.29552184554296,70.37810587214362,27.2662070249029,254.5747824087182,29.459657539849424,0.55,0.5038314736557788,0.25,0.4385290096535146,73.73460397712739,49.30553199842561
palaan asiaan tänään>,1,0.0,19.5,11.69045194450012,33.272428121658365,9.327185722524604,1.575,4.372920751332671,6.0,2.449489742783178,5.0,6.449011055173001,0.35,0.5795665931516722,1.175,1.1297265382746617,0.6202108663084528,0.1078043383932599,36.425,14.5441635135092,101.6853470230246,24.87842087379167,249.1683494216008,1.367825989434527,0.625,0.49029033784546017,0.2,0.40509574683346666,90.32162632928832,25.41959414278135
