,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sujuiko matkasi hyvin>,58,0.0,19.5,11.69045194450012,30.004513335078833,12.584475504121142,4.425,7.775330811661277,6.075,2.6543384901916376,7.15,9.014375982782965,0.35,0.5795665931516721,1.375,1.2747548783981963,0.5721489998088299,0.1704812566713049,38.0,18.448820405624158,74.69826826204276,29.837182387660086,247.44078910486004,12.277303802172733,0.575,0.5006406152531231,0.3,0.46409548089225705,103.21500355529636,36.333442264616764
tarkoititko yliopistoa>,62,0.0,19.5,11.69045194450012,34.748846192701464,10.617246507271442,2.5,6.03833904824319,6.975,3.60546238010591,5.925,11.145626945129644,0.375,0.6674674677561601,1.25,1.3728129459672882,0.6492671574978128,0.12984432877779908,40.175,25.66938463797501,85.14104842966503,27.407062649075748,246.2265282092833,8.354339888996364,0.6,0.4961389383568338,0.175,0.3848076442547928,76.65092280961325,33.43098924085131
tarvitsetko sen tänään>,21,0.0,19.5,11.69045194450012,28.81542395448493,11.714580301979677,4.0,7.407549856180171,7.175,3.6856443614345586,9.1,12.10594259666905,0.525,0.8161039400870708,1.725,1.449801047358939,0.5976025009235106,0.14326268005781187,44.475,26.993814581141095,82.24616877149519,31.30113466272549,247.24060191684785,2.2222464438510054,0.575,0.5006406152531231,0.325,0.4743416490252569,90.0792973318701,35.24206539374893
tavataan keskustassa>,34,0.0,19.5,11.69045194450012,29.190302912869004,10.455019753900448,3.025,5.59985118849897,6.825,2.725826150936301,8.9,12.31592673257077,0.45,0.7143223433831607,1.65,1.2100010595460502,0.5724681103676874,0.13559887298235918,42.375,25.52091902131089,94.22275624022636,33.25076772243938,248.2100962549629,1.6570037839982705,0.625,0.4902903378454601,0.3,0.46409548089225705,99.62220686292568,33.03353665423245
tiedätkö tästä mitään>,38,0.0,19.5,11.69045194450012,35.11437415943335,10.823523033147058,1.8,4.49615220109202,6.625,1.9701295024465413,5.15,7.54660732059659,0.475,0.7506407519323333,1.05,1.259833118781804,0.6924936930025466,0.15588786528143786,37.4,13.25064101013559,97.67501722455506,25.115981462182848,248.93096576813437,1.9812873196985203,0.55,0.503831473655779,0.2,0.40509574683346666,73.42890176831887,33.72490866691582
totuttelen tähän vielä>,19,0.0,19.5,11.69045194450012,33.568455031658495,9.506903394676359,1.8,4.745848388125871,7.15,2.5171208623936665,5.6,9.297918156839307,0.875,0.9657599638069014,1.275,1.7095133510551759,0.7113606075442922,0.15124971334322915,40.1,19.902067925024973,99.17892399032655,27.827690519360193,248.73430692964058,1.3786834106863324,0.675,0.47434164902525694,0.175,0.3848076442547927,69.64938722487211,32.43590002049635
tulen perjantaina>,3,0.0,19.5,11.69045194450012,35.115814803185906,7.932828236263067,1.425,3.5725987094076967,5.0,1.086041978694737,3.15,3.2387873640829814,0.5,0.6793662204867574,0.925,1.0225032129596565,0.7403027251012498,0.09222716138199642,28.075,7.933659226230271,91.00088075776374,26.292960674524327,250.27703741190402,1.858324710808129,0.65,0.4830458915396479,0.15,0.3616202853397895,63.252845770163205,20.898945375989335
tuletko kanssamme>,9,0.0,19.5,11.69045194450012,33.41442027220519,11.440250382939805,0.975,2.832843094843059,6.3,3.2201289988493893,7.05,15.145364019463226,0.65,0.8638019716079873,1.15,1.3310878527711354,0.6413470087015117,0.1289217811387624,38.025,32.29232464176636,86.19032817005544,21.40863552114593,248.848631475035,1.649626227491239,0.5,0.5063696835418333,0.2,0.40509574683346666,85.81072410573829,30.84341458377757
tuo lienee oikea vastaus>,6,0.0,19.5,11.69045194450012,34.25163777328634,10.52712216827456,3.025,6.8105781222282715,7.025,2.6163930936525617,5.85,9.82552928045231,0.5,0.599144689515278,1.15,1.0753651735156091,0.655559499788874,0.13537802520991943,41.3,20.398843607244512,99.71359346070531,33.37342506994186,248.74924229673647,1.4922341273683573,0.625,0.4902903378454601,0.2,0.40509574683346655,80.77465880891594,31.73634139714271
tällä ei ole kova kiire>,33,0.0,19.5,11.69045194450012,34.34518656446095,10.815725394955711,2.425,5.57874859600573,7.475,2.581864760405866,6.425,10.177621252482053,0.6,0.5905234531480935,1.225,1.4409309668690071,0.633250444048687,0.13524636220759093,43.0,22.017475576669334,91.71285401000631,28.399706057623657,248.22843337276308,1.4432524149413302,0.7,0.46409548089225705,0.2,0.40509574683346666,84.38611930101517,31.26490804154217
tämä näyttää hyvältä>,56,0.0,19.5,11.69045194450012,33.35398820722504,10.043642048212012,2.15,5.13185126790493,6.075,2.44306973776635,4.75,6.542758768875122,0.5,0.8164965809277259,1.05,1.1082441645256376,0.6332965762382439,0.1268620484820499,36.0,15.529954513117133,76.49874573158993,26.21214499942434,247.8928303083207,1.3400797135824019,0.55,0.5038314736557788,0.2,0.40509574683346666,82.4220947458845,30.38255470545012
tämä on arkaluontoista>,8,0.0,19.5,11.69045194450012,29.353396673068602,9.980116466412431,5.025,10.469705993472001,7.7,2.671789950288297,7.675,7.694111967885507,0.8,0.7909747313543118,1.65,1.144664322085916,0.646664561719335,0.17607644015163074,44.3,19.220982124911146,109.2072256148073,36.708085189656224,249.12059260834127,4.141192290987638,0.675,0.47434164902525683,0.325,0.47434164902525683,83.27829419617342,38.51990256719077
tämä on todella hyvä>,7,0.0,19.5,11.69045194450012,36.350235424036704,8.782958520790995,2.025,4.994804993498437,5.85,2.444774647472253,3.9,9.620490951809382,0.425,0.6359930655967716,0.775,0.9736924170788859,0.7011456887198023,0.12070693509175463,33.8,20.504158427512035,81.86336037995167,23.730973593457634,249.04737432176975,1.3357716362454162,0.5,0.5063696835418333,0.2,0.40509574683346666,69.68669985878732,28.446236811712716
voiko sitä enää korjata>,61,0.0,19.5,11.69045194450012,34.95494309202884,10.503156218161946,2.2,5.566382612129298,6.925,2.903468306203498,5.775,11.335190270195664,0.525,0.6788942744621109,1.175,1.4302142568555318,0.6550056698970078,0.1295181282754071,40.55,22.733630346206223,101.5119144970588,25.881634504210904,248.7285023723588,2.0519570897406765,0.65,0.483045891539648,0.175,0.3848076442547927,79.20697082100523,30.169475242391844
voimme juoda viiniä>,45,0.0,19.5,11.69045194450012,32.09564435861778,10.611771824165071,3.375,6.4676215261198,5.425,2.3846464017833884,4.8,7.272004626102165,0.35,0.579566593151672,0.925,0.944281031614353,0.6020940538040124,0.16737094894686047,32.675,18.082981799726248,57.5038923991677,25.322402953060887,247.45606693953036,1.2670412703931184,0.55,0.5038314736557788,0.25,0.4385290096535146,90.27088711831529,32.19220522498654
voinko auttaa mitenkään>,22,0.0,19.5,11.69045194450012,33.395311754910416,9.044618274063557,2.4,4.6673992099043105,6.95,2.275285273745487,5.15,4.486732578477263,0.6,0.8711913446392583,1.25,0.898717034272917,0.6024444132603295,0.10070194642446383,39.5,11.343133018115704,79.13673576927631,21.55322880658787,247.5634828198316,0.9986297957631994,0.65,0.48304589153964794,0.3,0.4640954808922571,92.87455473598564,23.638379930248473
voinko pitää tämän>,46,0.0,19.5,11.69045194450012,34.92627534978272,11.243699978204738,3.875,11.976874083854803,6.075,2.730525449573622,4.575,7.246174941446783,0.65,0.7696152885095854,0.7,0.7578647467450733,0.654454487698428,0.16708905721088266,34.3,19.64844875458464,59.57287445767353,18.41202307735767,247.7491134901834,2.0735823798238555,0.5,0.5063696835418333,0.275,0.4522025867763026,82.19193918080343,36.695818394972804
voisitko käydä kaupassa>,69,0.0,19.5,11.69045194450012,33.25447397661456,8.944904625678701,2.425,4.7061743404889835,6.9,1.9188671871839602,5.875,6.790594928809956,0.5,0.599144689515278,1.375,1.0299987552892655,0.6426105548582659,0.12972686174811277,41.55,13.473525798242177,108.17111459434713,26.101097346011088,249.00982344573384,1.605277819269017,0.575,0.5006406152531231,0.325,0.47434164902525683,83.39817208321247,29.829630572866105
voitko auttaa minua>,32,0.0,19.5,11.69045194450012,33.58094256786673,12.720491978494994,2.3,4.95207804089121,5.975,2.34780311933933,6.425,12.165287944361646,0.475,0.5986094998689324,0.925,1.0714835150747413,0.6207902158760542,0.16846704287848097,36.85,23.67899642710543,74.62214108333185,20.34560414886359,250.94209733223497,16.44688349573547,0.5,0.5063696835418333,0.225,0.42290206176626033,91.17551081789125,40.429456342996474
voitko jo paremmin>,72,0.0,19.5,11.69045194450012,29.956973625842714,11.225601084142275,2.625,5.304509450724026,6.2,1.9637744922496203,5.7,5.875634171991728,0.65,0.8022404524765273,1.4,1.1940021045379383,0.6094266058160808,0.14577076337500602,34.5,12.776179758862558,69.92266783744176,18.962075885976066,248.5307399805859,3.645087480736679,0.55,0.5038314736557788,0.325,0.47434164902525683,89.34866489355686,33.273395548255266
älä ota häntä mukaan>,60,0.0,19.5,11.69045194450012,35.918783659981315,9.135405962352355,2.05,4.950783413789823,5.6,1.8646509262923923,3.15,4.16671794840237,0.425,0.6359930655967716,0.825,0.873762861685903,0.7088389950465199,0.12667436136818674,32.25,9.464508601978398,85.53533751923999,21.114748133318383,249.13863657562774,1.1854911201117104,0.55,0.503831473655779,0.175,0.38480764425479264,67.18561011436961,27.094682338983354
älä tee siitä ongelmaa>,13,0.0,19.5,11.69045194450012,36.86019576150552,7.561872490436139,1.625,3.7668425191534847,6.125,1.6669871486745642,3.575,4.781843330874155,0.475,0.7156671622894871,0.9,0.8101914936669333,0.659639396403542,0.09578432344752771,35.775,9.158119558411205,93.01066692995437,21.712657921202958,248.75263113314887,1.185009883193247,0.55,0.5038314736557788,0.25,0.43852900965351455,78.84338595005589,22.4011810204453
äänestän jälkimmäistä>,24,0.0,19.5,11.69045194450012,38.08149655173862,9.01257154221345,1.95,4.893480749543606,5.375,1.8631032838127481,2.775,4.599261367676893,0.375,0.5856182356695511,0.675,0.8883144511391019,0.6643972357826329,0.10573254595529913,31.5,11.084755065936049,71.7984796626588,18.952203221419506,248.092363076278,0.8463086314119928,0.425,0.5006406152531232,0.225,0.4229020617662602,73.80559573025849,22.93082772451184
