,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
'q',4.269999999994937,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'f',0.0,0.0,0.27999999999999997,0.15000000000000002,0.2799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,4.259999999986216,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.3299999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'g',0.0,0.0,0.0,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.7099999999862425,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'k',0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.2199999999863875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,0.1,0.30999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'r',0.0,0.0,0.0,4.2899999999914575,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'c',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,3.749999999986996,0.2799999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2799999999999999,0.1,0.0,0.0,0.0,0.0,0.0
'e',0.0,0.25,4.169999999991402,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
't',0.0,0.0,0.0,0.15000000000000002,4.289999999991414,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'j',0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.9799999999863616,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ä',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.28999999999165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's',0.15000000000000002,0.2,0.2799999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.1999999999870825,0.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,0.2799999999999999,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'i',0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.249999999991499,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899999999999999,0.15000000000000002,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'p',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.289999999991433,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999997,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'u',0.0,0.0,0.0,0.0,0.0,0.05,4.309999999991621,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2799999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
